itemid,one-liner,year
001-183395,"['Key cases 2018\u2002 \u2002 Cases by Article\u2002 \u2002 Page 10\n', 'CONTROL OF THE USE OF PROPERTY\n', 'Temporary prohibition on commercial mussel-seed fishing to\n', 'comply with European Union directives: no violation\n', 'O’Sullivan McCarthy Mussel Development Ltd\n', 'v. Ireland, no.\u202f44460/16, 7.6.2018\n', 'Judgment | Legal summary\n']",2018
001-187507,"['INDEPENDENT AND IMPARTIAL TRIBUNAL\n', 'Alleged lack of independence and impartiality of the Supreme\n', 'Court owing to the dual role of its President and the careers of its\n', 'judges, linked to the High Council of the Judiciary: no violation\n', 'Ramos Nunes de Carvalho e Sá v. Portugal [GC],\n', 'nos. 55391/13 and 2 others, 6.11.2018\n', 'Judgment | Legal summary\n']",2018
001-203213,"['8\u2003 \u2003 Key cases 2020\u2002 \u2002 Cases by Article\n', 'ARTICLE 9\n', 'MANIFEST RELIGION OR BELIEF\n', 'Birth certificate revealing parents’ choice not to christen their child: violation\n', 'Stavropoulos and Others v. Greece, no.\xa052484/18, 25 June 2020\n', 'Judgment | Legal summary\n']",2020
001-219943,"['ARTICLE 46\n', 'Article 46 § 4\n', 'INFRINGEMENT PROCEEDINGS\n', 'Infringement proceedings against Türkiye for failure to abide by\n', 'Court’s final judgment explicitly indicating applicant’s immediate\n', 'release: violation\n', 'Kavala v. Türkiye [GC], no. 28749/18, 11 July 2022\n', 'Judgment | Legal summary\n']",2022
001-206369,"['ARTICLE 5\n', 'ARTICLE 5 § 1 (f)\n', 'EXTRADITION\n', 'Authorities’ lack of diligence in determining admissibility of\n', 'extradition of applicant to his country of origin despite refugee\n', 'status granted by another EU member State: violation\n', 'Shiksaitov v. Slovakia, nos. 56751/16 and 33762/17,\n', '10 December 2020\n', 'Judgment | Legal summary\n']",2020
001-229726,"['FREEDOM TO IMPART INFORMATION\n', 'No legitimate aim for temporary suspension of children’s fairy\n', 'tale book depicting same-sex relationships and its subsequent\n', 'labelling as harmful to children under the age of 14: violation\n', 'Macatė v. Lithuania [GC], no. 61435/19, 23 January 2023\n', 'Judgment | Legal summary\n']",2023
001-203885,"['ARTICLE 3 OF PROTOCOL No.\xa01\n', 'FREE EXPRESSION OF THE OPINION OF THE PEOPLE\n', 'Member of parliament excluded from parliamentary proceedings as a result\n', 'of his prolonged pre-trial detention without sufficient justification: violation\n', 'Selahattin Demirtaş v. Turkey (no. 2) [GC], no. 14305/17, 22 December 2020\n', 'Judgment | Legal summary\n']",2020
001-217488,"['11\n', 'Key cases 2022\n', 'ARTICLE 11\n', 'FREEDOM OF ASSOCIATION\n', 'Dismissal of employees on account of their involvement in a\n', 'strike organised outside a trade-union context: Article 11 not\n', 'applicable; inadmissible\n', 'Barış and Others v. Turkey (dec.), nos. 66828/16 et al.,\n', '14 December 2021\n', 'Decision | Legal summary\n']",2022
001-203840,"['11\u2003 \u2003 Key cases 2020\u2002 \u2002 Cases by Article\n', 'ARTICLE 4 OF PROTOCOL No.\xa04\n', 'PROHIBITION OF COLLECTIVE EXPULSION OF ALIENS\n', 'Immediate and forcible return of aliens from a land border,\n', 'following an attempt by a large number of migrants to cross it\n', 'in an unauthorised manner and en masse: no violation\n', 'N.D. and N.T. v. Spain [GC], nos. 8675/15 and 8697/15, 13 February 2020\n', 'Judgment | Legal summary\n']",2020
001-220007,"['Lack of independent effective investigation into arguable\n', 'allegations of racial profiling by police during identity check on a\n', 'train: violation\n', 'Basu v. Germany, no. 215/19, 18 October 2022\n', 'Judgment | Legal summary\n']",2022
001-222750,"['RESPECT FOR FAMILY LIFE\n', 'Refusal of family reunification requests, for not fulfilling financial\n', 'independence requirement, of provisionally admitted refugees\n', 'fearing persecution because of their illegal exit from their country\n', 'of origin: violation; no violation\n', 'B.F. and Others v. Switzerland, nos. 13258/18 et al., 4 July 2023\n', 'Judgment | Legal summary\n']",2023
001-219556,"['Article 6 § 1 (criminal)\n', 'FAIR HEARING\n', 'Use of bank documents, for the re-setting of a tax fine, obtained\n', 'by a judicial order on pain of penalty payments, not within scope\n', 'of protection of privilege against self-incrimination: no violation\n', 'De Legé v. the Netherlands, no. 58342/15, 4 October 2022\n', 'Judgment | Legal summary\n']",2022
001-217436,"['ARTICLE 14\n', 'DISCRIMINATION (ARTICLE 8)\n', 'No discrimination against wheelchair user unable to access two\n', 'local public buildings, given other considerable measures to\n', 'improve accessibility: no violation\n', 'Arnar Helgi Lárusson v. Iceland, no. 23077/19, 31 May 2022\n', 'Judgment | Legal summary\n']",2022
001-229133,"['Consecutive enforcement of disciplinary punishments and\n', 'security measures in prison resulting in protracted periods of\n', 'solitary confinement: violation\n', 'Schmidt and Šmigol v. Estonia, nos. 3501/20 et al., 28 November 2023\n', 'Judgment | Legal summary\n']",2023
001-205361,"['DISCRIMINATION (Article 8) | POSITIVE OBLIGATIONS\n', 'Refusal to prosecute authors of serious homophobic comments\n', 'on Facebook including undisguised calls for violence, without\n', 'effective investigation beforehand: violation\n', 'Beizaras and Levickas v. Lithuania, no. 41288/15, 14 January 2020\n', 'Judgment | Legal summary\n']",2020
001-182452,"['RESPECT FOR PRIVATE AND FAMILY LIFE | POSITIVE OBLIGATIONS\n', 'Burial of a victim of a criminal act without taking\n', 'reasonable steps to inform his relatives: violation\n', 'Lozovyye v. Russia, no.\u202f4587/09, 24.4.2018\n', 'Judgment | Legal summary\n']",2018
001-218424,"['10\n', 'Key cases 2022\n', 'Unaccompanied minor asylum-seeker placed in adult reception\n', 'centre, not provided minimum procedural guarantees in age-\n', 'assessment procedure: violation\n', 'Darboe and Camara v. Italy, no. 5797/17, 21 July 2022\n', 'Judgment | Legal summary\n']",2022
001-203850,"['ARTICLE 33\n', 'INTER-STATE APPLICATION\n', 'Lack of jurisdiction for the Court to examine inter-State application\n', 'vindicating the rights of a legal entity which does not qualify as “non-\n', 'governmental” for the purposes of Article 34 of the Convention\n', 'Slovenia v. Croatia (dec.) [GC], no. 54155/16,\n', '18 November 2020\n', 'Decision | Legal summary\n']",2020
001-223259,"['10\n', 'Key cases 2023\n', 'Elected politician fined in criminal proceedings for failing to\n', 'delete, from his publicly accessible Facebook “wall” used for his\n', 'election campaign, Islamophobic comments by third parties also\n', 'convicted: no violation\n', 'Sanchez v. France [GC], no. 45581/15, 15 May 2023\n', 'Judgment | Legal summary\n']",2023
001-219559,"['Doctors’ failure to involve son in procedure leading to mother’s\n', 'death by euthanasia, in the absence of her wish to do so, in\n', 'accordance with law: no violation\n', 'Mortier v. Belgium, no. 78017/17, 4 October 2022\n', 'Judgment | Legal summary\n']",2022
001-220073,"['Discriminatory treatment of widower, taking care full-time of\n', 'children, by terminating his survivor’s pension when youngest\n', 'child reached adulthood, while widows continued to receive\n', 'one: violation\n', 'Beeler v. Switzerland [GC], no. 78630/12, 11 October 2022\n', 'Judgment | Legal summary\n']",2022
